id_municipio,id_municipio_tse
2607109,24414
2615904,26174
2602506,23493
2614600,25917
2611533,23000
2612802,25550
2606903,24376
2614105,25810
2601201,23230
2606606,24317
2607000,24392
2605103,24015
2609154,23248
2601805,23353
2608750,23183
2611101,25216
2609808,24953
2612604,25518
2600203,23035
2605152,23140
2615201,26034
2603009,23590
2611002,25194
2603926,23167
2614808,25950
2605707,24139
2608057,23264
2601607,23310
2607406,24473
2600500,23094
2616001,26190
2610806,25151
2602803,23558
2615805,26158
2607505,24490
2606408,24279
2603108,23612
2611705,25330
2602605,23515
2608008,24597
2601904,23370
2604106,23817
2613107,25615
2603801,23752
2611200,25232
2600609,23116
2612406,25470
2614709,25933
2610905,25178
2613008,25593
2601706,23337
2604155,23221
2614501,25895
2605806,24155
2612703,25534
2616183,23086
2616209,26239
2615003,25992
2612505,25496
2615409,26077
2613800,25755
2608909,24775
2610509,25097
2609709,24937
2608107,24619
2609105,24813
2605400,24074
2612109,25410
2602209,23434
2604908,23973
2606002,24198
2610103,25011
2615102,26018
2603306,23655
2608404,24678
2608255,23124
2613206,25631
2601003,23191
2602407,23477
2612307,25453
2603702,23736
2608305,24651
2606507,24295
2602100,23418
2603207,23639
2604700,23930
2608800,24759
2608602,24716
2610301,25054
2606705,24333
2601300,23256
2602308,23450
2612000,25399
2600807,23159
2613305,25658
2600302,23051
2605004,23990
2610202,25038
2603504,23698
2608701,24732
2610608,25119
2600708,23132
2616308,26255
2603603,23710
2607653,25976
2604601,23914
2606200,24236
2609006,24791
2605509,24090
2615300,26050
2607802,24554
2609501,24899
2604007,23795
2615508,26093
2602704,23531
2608453,23027
2608503,24694
2604403,23876
2616407,26271
2611309,25259
2606101,24210
2604502,23892
2601508,23299
2608206,24635
2616506,23060
2604205,23833
2600401,23078
2605905,24171
2609204,24830
2612901,25577
2610004,24996
2607950,23302
2601409,23272
2614857,23280
2613404,25674
2611903,25372
2614204,25836
2611507,25291
2611804,25356
2611408,25275
2600906,23175
2604809,23957
2605202,24031
2601052,23205
2606804,24350
2607752,26336
2607604,24511
2611606,25313
2600054,26310
2607901,24570
2609600,24910
2613701,25739
2610707,25135
2609402,24872
2603454,26298
2602902,23574
2607208,24430
2605459,30015
2705002,27995
2700102,27014
2706422,27022
2703304,27650
2701605,27316
2705804,28150
2702405,27472
2707107,28410
2701803,27359
2707206,28436
2708956,28916
2706109,28215
2708006,28592
2702504,27499
2704609,27910
2708402,28673
2706208,28231
2706406,28274
2703700,27731
2704401,27871
2706000,28193
2700706,27138
2705705,28134
2705408,28070
2700904,27170
2703403,27677
2704906,27979
2709004,28797
2704807,27952
2700805,27154
2706604,28312
2701209,27235
2707602,28517
2705309,28053
2706307,28258
2702553,27049
2703106,27618
2700300,27057
2709103,28819
2702900,27570
2701506,27294
2702009,27391
2704104,27812
2704203,27839
2702355,28894
2702603,27510
2708808,28754
2708204,28630
2705903,28177
2709202,28835
2703007,27596
2708105,28614
2709301,28851
2708303,28657
2701902,27375
2707008,28398
2709400,28878
2705200,28037
2702801,27553
2703809,27758
2708501,28690
2705606,28118
2707305,28452
2703908,27774
2705101,28010
2702108,27413
2703502,27693
2701357,27081
2701100,27219
2705507,28096
2701704,27332
2701308,27251
2700409,27073
2708709,28738
2704500,27898
2703601,27715
2706505,28290
2707404,28479
2704708,27936
2706448,27006
2702207,27430
2700508,27090
2707909,28576
2704302,27855
2708907,28770
2707701,28533
2700607,27111
2706901,28371
2702306,27456
2701001,27197
2707800,28550
2701407,27278
2703759,27065
2700201,27030
2708600,28711
2709152,28932
2704005,27790
2702702,27537
2703205,27634
2707503,28495
2706703,28339
2706802,28355
2802403,31496
2804201,31836
2804508,31895
2805604,32115
2802601,31518
2803104,31615
2805406,32077
2801207,31232
2802205,31437
2804458,31356
2806008,32190
2801405,31275
2805000,31992
2805208,32034
2802304,31453
2804607,31917
2801900,31372
2803807,31755
2800209,31038
2804300,31852
2807006,32395
2802908,31577
2806800,32352
2804102,31810
2803906,31771
2801009,31194
2803708,31739
2800506,31097
2805505,32093
2807402,32476
2807105,32417
2803500,31690
2805802,32158
2804409,31879
2801108,31216
2801603,31313
2806404,31003
2807303,32450
2805703,32131
2800704,31135
2800100,31011
2802700,31534
2804706,31933
2801306,31259
2802007,31399
2806503,32298
2807204,32433
2805307,32050
2803302,31658
2804904,31976
2806909,32379
2803401,31674
2803609,31712
2806107,32212
2802502,31470
2801504,31291
2805901,32174
2804003,31798
2806602,32310
2806701,32336
2804805,31950
2800308,31054
2800605,31119
2801702,31330
2807600,32514
2800670,31151
2807501,32492
2803005,31593
2805109,32018
2800407,31070
2806206,32239
2803203,31631
2802809,31550
2802106,31410
2806305,32255
2903201,33634
2928901,38776
2902500,33499
2919553,30007
2907400,34479
2911105,35211
2926202,38253
2909406,34878
2928406,35491
2901403,33278
2930907,39179
2909703,34932
2904407,33871
2933455,39993
2920452,39772
2930303,39055
